,precipitation_AWAP,precipitation_SILO,et_morton_wet_SILO,qtot,streamflow_mmd
1975-04-11,0.0,0.0,3.15305272,0.232460789669985,0.45388827
1975-04-12,0.0,0.0,2.93621058,0.1763216740871311,0.45021056
1975-04-13,0.0,0.0,2.89291237,0.1353809733859722,0.45021898
1975-04-14,0.0,0.0,2.79185969,0.1055118436971235,0.4487507
1975-04-15,1.37024562,1.67628076,2.38392984,0.1461957017552641,0.44496631
1975-04-16,0.49101755,0.31621053,2.02203515,0.1325981903128951,0.44383212
1975-04-17,0.21775439,0.00659649,1.81712284,0.1111800664977834,0.44087591
1975-04-18,2.03649122,2.07340355,1.67171934,0.1842634534073687,0.43759405
1975-04-19,26.38659642,21.88940389,1.6032281,1.5594998825227595,0.53072993
1975-04-20,11.02161388,15.06386004,2.10526325,1.730443482696873,1.08375632
1975-04-21,0.01824561,0.01164912,1.61887722,1.269637992001782,0.59692869
1975-04-22,0.37333334,0.85270177,1.57564914,0.946401727901922,0.52916339
1975-04-23,8.33957889,6.8834387,2.66273692,1.1244513999381105,0.66964346
1975-04-24,0.0,0.0,2.46631582,0.8265077649040615,0.56868894
1975-04-25,0.0,0.0,2.47578954,0.6089646535110507,0.50411847
1975-04-26,0.0,0.0,2.32350876,0.4505105018862965,0.47704099
1975-04-27,0.0,0.0,1.75543866,0.3351216943518293,0.47188658
1975-04-28,0.0,0.0,1.52091229,0.2510741460721989,0.47145143
1975-04-29,0.0,0.0,1.4179649,0.1898324412773073,0.46717294
1975-04-30,0.00224561,0.0,1.15642109,0.1452228416274816,0.46266985
1975-05-01,0.17866667,0.11354386,2.10842114,0.1192710662922294,0.45799832
1975-05-02,0.0,0.0,2.09712293,0.093717251575186,0.44838574
1975-05-03,0.0,0.0,1.64701758,0.0750675066327698,0.44120157
1975-05-04,0.0,0.0,1.8432281,0.0614500319689409,0.44009826
1975-05-05,0.0,0.0,1.06421054,0.0515022050532878,0.43811623
1975-05-06,0.00217544,0.0,1.22708777,0.0442592384366511,0.43797866
1975-05-07,1.01010527,0.75361404,1.16084214,0.0793770132603098,0.43857945
1975-05-08,13.81431566,11.93712297,1.03354387,0.781765118372622,0.44178271
1975-05-09,2.98147367,1.79873688,0.97073685,0.7175724781291256,0.58016283
1975-05-10,8.38898254,8.52035102,1.2161404,0.9585637944354471,0.48736103
1975-05-11,3.5983158,6.55431587,0.96449124,0.8783893452000135,0.54528916
1975-05-12,4.34996493,2.96091232,0.72477193,0.8597644907687413,0.48036216
1975-05-13,3.86294734,4.87438603,0.6631579,0.8196384194701697,0.63710556
1975-05-14,23.82329834,22.9568426,0.86814037,1.876705431401916,0.85679394
1975-05-15,4.89964916,4.93122812,0.60077194,1.6215618738389628,1.24747894
1975-05-16,16.35887711,14.40287742,0.64491229,2.0523752209511485,1.04038742
1975-05-17,12.30877193,13.64617561,0.53501755,2.2091997315870007,1.72040988
1975-05-18,4.90828072,6.65543869,1.12196494,1.8847259367346751,1.31174621
1975-05-19,0.03508772,0.18035088,1.32175443,1.3878793766801558,1.03368613
1975-05-20,0.00224561,0.01185965,1.21003514,1.0206914875027575,0.75883773
1975-05-21,0.27992983,0.33845615,1.38814034,0.7617433172080468,0.66027793
1975-05-22,0.01185965,0.00617544,0.78821054,0.5641008954732988,0.60762493
1975-05-23,0.08877193,0.00217544,0.80000001,0.4219158141099832,0.58001404
1975-05-24,2.98070174,1.70561406,1.0609123,0.451403186826748,0.56778214
1975-05-25,16.54273685,14.39628096,0.44491229,1.2355957278867171,0.57601348
1975-05-26,17.12112298,14.79249167,0.82638598,1.90866636624934,1.86895284
1975-05-27,2.30336843,1.82329829,1.2470176,1.534642021185057,1.25270354
1975-05-28,0.0,0.0,0.75712281,1.131524538542963,0.83705222
1975-05-29,0.00491228,0.01052632,1.20217549,0.8346700322844084,0.72267266
1975-05-30,0.004,0.01094737,0.80000001,0.6176707868389627,0.64480348
1975-05-31,0.004,0.01185965,0.69999999,0.4590511102358913,0.60887423
1975-06-01,0.19066667,0.17663158,1.10000002,0.3486515043212899,0.59033408
1975-06-02,0.02189474,0.0,0.80000001,0.2626814555117049,0.57341101
1975-06-03,1.726807,1.61101757,0.86624564,0.2736106997108556,0.56221224
1975-06-04,0.89515789,1.03284212,0.90449126,0.2409976629339805,0.55704941
1975-06-05,7.22140354,6.74736848,0.64056141,0.5508190650904304,0.59793375
1975-06-06,0.39185966,0.56421053,0.57754388,0.4212864937811699,0.76043515
1975-06-07,0.0,0.0,1.17684215,0.3140054661260552,0.59903987
1975-06-08,0.004,0.00968421,1.30000007,0.2359209263539931,0.57281022
1975-06-09,0.0677193,0.06091228,1.33164916,0.1809416014287463,0.5463251
1975-06-10,0.01185965,0.01529825,0.69782455,0.1392053178446239,0.54602751
1975-06-11,0.30133334,0.0082807,0.79319299,0.117593534295893,0.53745368
1975-06-12,2.52778947,3.13094745,1.05929826,0.2057149180598563,0.53885177
1975-06-13,0.10245614,0.11894737,1.14049126,0.1599672176703618,0.54528916
1975-06-14,0.00224561,0.0,1.12870179,0.1234043709728778,0.51661707
1975-06-15,0.03726316,0.05031579,1.04484212,0.0977756840235697,0.50634475
1975-06-16,0.02764912,0.0,1.05515791,0.078867899538698,0.50500561
